year,quarter_code,quarter_period,region_ar,region_en,index_value,qoq_change_pct,yoy_change_pct
2025,Q4,2025Q4,الرياض,Riyadh,109.88,-0.9,-3.0
2025,Q4,2025Q4,مكة المكرمة,Makkah,100.65,0.2,2.5
2025,Q4,2025Q4,المدينة المنورة,Madinah,92.01,0.4,-6.1
2025,Q4,2025Q4,القصيم,Al Qaseem,93.01,0.4,-2.7
2025,Q4,2025Q4,المنطقة الشرقية,Eastern Province,97.63,0.0,4.0
2025,Q4,2025Q4,عسير,Aseer,86.31,-0.3,-2.5
2025,Q4,2025Q4,تبوك,Tabouk,103.37,-0.2,1.1
2025,Q4,2025Q4,حائل,Hail,93.8,0.1,-8.9
2025,Q4,2025Q4,الحدود الشمالية,Northern Borders,94.41,0.5,-6.8
2025,Q4,2025Q4,جازان,Jazan,100.38,-0.3,1.1
2025,Q4,2025Q4,نجران,Najran,100.55,-0.8,-2.2
2025,Q4,2025Q4,الباحة,Al Baha,78.93,0.4,-5.0
2025,Q4,2025Q4,الجوف,Al Jouf,93.83,0.2,0.4
2026,Q1,2026Q1,عام (المملكة),Kingdom (General),103.29,-0.2,-1.6
2026,Q1,2026Q1,الرياض,Riyadh,109.83,0.0,-4.4
2026,Q1,2026Q1,مكة المكرمة,Makkah,99.37,-1.3,-0.7
2026,Q1,2026Q1,المدينة المنورة,Madinah,93.6,1.7,-5.0
2026,Q1,2026Q1,القصيم,Al Qaseem,91.93,-1.2,-5.1
2026,Q1,2026Q1,المنطقة الشرقية,Eastern Province,97.75,0.1,6.9
2026,Q1,2026Q1,عسير,Aseer,88.51,2.5,1.1
2026,Q1,2026Q1,تبوك,Tabouk,101.96,-1.4,1.5
2026,Q1,2026Q1,حائل,Hail,95.39,1.7,-8.0
2026,Q1,2026Q1,الحدود الشمالية,Northern Borders,99.98,5.9,-6.6
2026,Q1,2026Q1,جازان,Jazan,100.26,-0.1,-1.4
2026,Q1,2026Q1,نجران,Najran,105.61,5.0,3.5
2026,Q1,2026Q1,الباحة,Al Baha,76.14,-3.5,-9.2
2026,Q1,2026Q1,الجوف,Al Jouf,95.62,1.9,-1.4
2026,Q2,2026Q2,عام (المملكة),Kingdom (General),106.34,3.0,1.3
2026,Q2,2026Q2,الرياض,Riyadh,115.98,5.6,4.2
2026,Q2,2026Q2,مكة المكرمة,Makkah,102.43,3.1,0.4
2026,Q2,2026Q2,المدينة المنورة,Madinah,91.68,-2.1,-4.5
2026,Q2,2026Q2,القصيم,Al Qaseem,92.22,0.3,-5.4
2026,Q2,2026Q2,المنطقة الشرقية,Eastern Province,95.73,-2.1,-2.5
2026,Q2,2026Q2,عسير,Aseer,87.77,-0.8,-1.4
2026,Q2,2026Q2,تبوك,Tabouk,102.63,0.7,-1.7
2026,Q2,2026Q2,حائل,Hail,92.3,-3.2,-10.1
2026,Q2,2026Q2,الحدود الشمالية,Northern Borders,103.86,3.9,4.6
2026,Q2,2026Q2,جازان,Jazan,98.79,-1.5,-0.4
2026,Q2,2026Q2,نجران,Najran,100.11,-5.2,-0.5
2026,Q2,2026Q2,الباحة,Al Baha,77.91,2.3,-2.8
2026,Q2,2026Q2,الجوف,Al Jouf,107.02,11.9,10.4
